loss_train,loss_val
2.842952903358345,2.7878994941711426
2.790084247165743,2.800097942352295
2.782219818036054,2.733102798461914
2.7773191858019475,2.755601644515991
2.7728678412057075,2.7204174995422363
2.769269099371953,2.7382936477661133
2.765961405259991,2.72550368309021
2.7620021241315618,2.714306116104126
2.7585648110211944,2.716860771179199
2.7556853027694155,2.733149766921997
2.753267286891928,2.720395803451538
2.751292937424643,2.7255547046661377
2.7493974350045107,2.7473814487457275
2.7475118159888154,2.7079408168792725
2.746034549872973,2.705209970474243
2.7442222815955475,2.7279481887817383
2.7432214495027587,2.704401731491089
2.742220910276437,2.741936445236206
2.741141786144368,2.7092554569244385
2.7412077246331528,2.7255024909973145
